Company Name,Region,event_date,Lead Score,Priority,Suggested Outreach
FRANK AI LIMITED,London,2026-03-03,85,high,"Frank Ai Limited incorporated recently in London — R&D tax relief, EMI share schemes, and early structure decisions are worth getting right from month one. Worth a conversation?"
JIMJAM AI LTD,London,2026-03-03,80,high,"Jimjam Ai Ltd incorporated recently in London — R&D tax relief, EMI share schemes, and early structure decisions are worth getting right from month one. Worth a conversation?"
COPAT LTD,London,2026-03-03,80,high,"Copat Ltd incorporated recently in London — R&D tax relief, EMI share schemes, and early structure decisions are worth getting right from month one. Worth a conversation?"
LUMIÈRE BODY STUDIO LTD,London,2026-03-03,70,medium,"Lumière Body Studio Ltd is a newly incorporated London business with activity across multiple sectors — early advice on structure, VAT, and reporting obligations tends to save significant cost later. Open to a conversation?"
CGD 1 (UK) LIMITED,London,2026-03-03,65,medium,"Cgd 1 (Uk) Limited incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
TERORI LTD,London,2026-03-03,65,medium,"Terori Ltd incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
BLACKWATER FILMS LTD,London,2026-03-03,65,medium,"Blackwater Films Ltd incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
GEPIGO LTD,London,2026-03-03,65,medium,"Gepigo Ltd incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
ABURWES LTD,London,2026-03-03,65,medium,"Aburwes Ltd incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
ONEE CAPITAL LTD,London,2026-03-03,65,medium,"Onee Capital Ltd incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
EVERTRUST HOLDINGS LTD,London,2026-03-03,65,medium,"Evertrust Holdings Ltd incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
AZADI FOOD HOUSE LIMITED,London,2026-03-03,65,medium,"Azadi Food House Limited incorporated recently in London — getting accounts, tax registration, and payroll set up correctly from the start avoids costly corrections later. Would it be worth a brief call?"
RECYPTLY LTD,Reading,2026-03-03,60,medium,Recyptly Ltd is a newly incorporated tech business — R&D tax credits and share scheme setup are time-sensitive from incorporation. Happy to run through what applies to them?
